numero_dpe,date_etablissement_dpe,methode_application_dpe,etiquette_dpe,type_batiment,periode_construction,zone_climatique,code_insee_ban,typologie_logement,nombre_niveau_immeuble,nombre_niveau_logement,nombre_appartement,type_energie_principale_chauffage,type_energie_principale_ecs,type_ventilation,conso_5_usages_par_m2_ep,emission_ges_5_usages_par_m2,cout_chauffage,cout_ecs,cout_total_5_usages,surface_habitable_logement,surface_habitable_immeuble
2167E1042148F,2021-07-01,dpe appartement individuel,F,appartement,avant 1948,H1b,67482,,,1,1,Gaz naturel,Gaz naturel,VMC SF Hygro A après 2012,330.2,72,714,302,1135,51,800
2150E0774672A,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50601,,1,1,1,Électricité,Non affecté,,199.7,6,742,111,1009,67,67
2166E0061952I,2021-07-01,dpe appartement individuel,F,appartement,1948-1974,H3,66004,,,1,,Fioul domestique,Non affecté,,338.1,87.9,376,163,816,22.4,
2178E0052096S,2021-07-01,dpe maison individuelle,G,maison,1978-1982,H1a,78472,,,3,,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,110.2,3.4,922,321,1483,155,
2129E0266740J,2021-07-01,dpe appartement individuel,C,appartement,1948-1974,H2a,29105,,,1,,Gaz naturel,Non affecté,,149.6,19.1,766,587,1568,76.8,
2132E0021386U,2021-07-01,dpe maison individuelle,F,maison,1948-1974,H2c,32252,,,2,,Fioul domestique,Non affecté,,280.8,80.4,2971,562,3597,133,
2128E0834900Q,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H1a,28057,,,2,,Électricité,Électricité,VMC SF Auto réglable de 2001 à 2012,105.5,7,302,109,612,80,
2185E0039224X,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H2b,85234,,,1,,Électricité,Électricité,VMC SF Auto réglable après 2012,183,5.9,1386,483,2045,116.1,
2150E0774709L,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50603,,1,1,1,Électricité,Non affecté,,139.9,5,743,120,1024,80.2,80.2
2150E0740178I,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50188,,1,1,1,Électricité,Non affecté,,127.8,5,538,113,785,64.9,64.9
